F0,F1,F6,F12,F14,F15,F16,F26,F72,F99,S,Busy,Exting,Month,Car,Nozzle,Flow,Long
1718703,1146,1,1,1,1,5,10,0,0,15,45,11,4,3,1,3.5,0
1718704,1146,0,8,0,0,0,8,0,0,6,33,11,4,1,1,3.5,0
1712786,1146,0,1,2,1,3,12,0,1,4,47,23,1,2,1,3.5,0
1718706,1146,0,1,1,1,5,5,0,0,2,20,6,4,2,1,3.5,0
1718707,1146,0,8,0,0,0,30,0,0,15,73,19,4,1,1,3.5,0
1718708,1146,0,8,0,0,0,3,0,0,5,40,26,4,2,1,3.5,0
1718709,1146,1,8,0,0,0,1,0,0,100,10,3,4,1,1,3.5,0
1718710,1146,0,8,0,0,0,10,0,0,300,128,104,4,1,1,3.5,0
1718711,1146,0,8,0,0,0,2,0,0,20,17,6,4,1,1,3.5,0
1718712,1146,1,8,0,0,0,4,0,0,60,13,6,4,1,1,3.5,0
1718713,1146,0,8,0,0,0,21,0,0,350,76,39,4,1,1,3.5,0
1711793,1146,1,1,14,13,2,5,8,1,3,40,23,1,6,1,3.5,0
1706538,1146,1,1,3,2,2,2,0,1,5,125,22,2,4,1,3.5,0
1718716,1146,0,8,0,0,0,16,0,0,300,33,9,4,1,1,3.5,0
1718717,1146,0,8,0,0,0,4,0,0,30,20,12,4,1,1,3.5,0
1718718,1146,0,8,0,0,0,9,0,0,50,26,14,4,1,1,3.5,0
1718719,1146,1,8,0,0,0,2,0,0,45,35,28,4,1,1,3.5,0
1718720,1146,1,8,0,0,0,6,0,0,5,14,3,4,1,1,3.5,0
1718721,1146,0,1,1,1,5,14,0,0,72,167,53,4,3,3,10.5,0
1708661,1146,0,1,1,1,5,12,4,1,3,115,22,8,2,1,3.5,0
1718723,1146,0,1,2,2,5,13,0,0,36,132,51,4,3,3,10.5,0
1718724,1146,1,8,0,0,0,4,0,0,5,13,5,4,2,1,3.5,0
1718725,1146,0,8,0,0,0,12,0,0,50,41,14,4,1,1,3.5,0
1718726,1146,0,8,0,0,0,16,0,0,300,63,21,4,1,1,3.5,0
1718727,1146,1,8,0,0,0,1,0,0,10,24,10,1,1,1,3.5,0
1718728,1146,0,8,0,0,0,26,0,0,150,67,30,1,2,1,3.5,0
1718729,1146,1,8,0,0,0,2,0,0,30,25,17,1,1,1,3.5,0
1718730,1146,0,8,0,0,0,7,0,0,100,27,7,1,1,1,3.5,0
1718731,1146,1,8,0,0,0,1,0,0,50,21,5,2,1,1,3.5,0
1718732,1146,0,8,0,0,0,15,0,0,70,52,29,2,1,1,3.5,0
1718733,1146,1,8,0,0,0,3,0,0,10,28,11,2,1,1,3.5,0
1718734,1146,0,8,0,0,0,9,0,0,20,19,5,2,1,1,3.5,0
1718735,1146,1,8,0,0,0,3,0,0,10,25,8,2,1,1,3.5,0
1718736,1146,0,8,0,0,0,9,0,0,60,39,18,2,1,1,3.5,0
1718737,1146,0,8,0,0,0,9,0,0,15,17,5,2,1,1,3.5,0
1718738,1146,0,8,0,0,0,10,0,0,10,45,18,2,1,1,3.5,0
1718739,1146,1,8,0,0,0,2,0,0,1,10,3,3,1,1,3.5,0
1718740,1146,1,8,0,0,0,8,0,0,15,27,12,3,1,1,3.5,0
1718741,1146,0,1,2,1,5,6,0,0,34,143,66,3,3,2,7.0,0
1718742,1146,0,1,1,1,5,12,0,0,24,79,27,4,3,2,7.0,0
1718743,1146,1,8,0,0,0,8,0,0,5,21,5,4,1,1,3.5,0
1718744,1146,1,8,0,0,0,6,0,0,3,18,3,4,1,1,3.5,0
1718745,1146,0,8,0,0,0,14,0,0,50,26,4,5,1,1,3.5,0
1718746,1146,1,8,0,0,0,7,0,0,50,28,12,5,1,1,3.5,0
1718747,1146,1,1,1,1,4,11,0,0,3,35,13,5,2,1,3.5,0
1718748,1146,1,8,0,0,0,14,0,0,2,23,4,6,1,1,3.5,0
1718749,1146,1,8,0,0,0,1,0,0,5,10,4,6,1,1,3.5,0
1718750,1146,0,1,2,2,4,3,0,0,72,360,69,6,3,3,10.5,0
1712322,1146,1,1,2,2,3,5,8,1,18,84,22,12,3,1,3.5,0
1718752,1146,1,1,5,1,2,3,0,0,1,12,3,7,2,1,3.5,0
1718753,1146,1,1,1,1,5,1,0,0,5,42,26,7,2,1,3.5,0
1718754,1146,0,1,1,1,5,18,0,0,5,43,15,7,2,1,3.5,0
1718755,1146,1,8,0,0,0,2,0,0,12,29,9,8,1,1,3.5,0
1718756,1146,1,8,0,0,0,1,0,0,10,27,5,8,1,1,3.5,0
1718757,1146,1,8,0,0,0,4,0,0,15,21,4,8,1,1,3.5,0
1718758,1146,1,8,0,0,0,4,0,0,1,10,3,8,1,1,3.5,0
1718759,1146,1,8,0,0,0,6,0,0,1,13,3,8,1,1,3.5,0
1718760,1146,1,8,0,0,0,4,0,0,24,32,9,8,1,1,3.5,0
1718761,1146,1,8,0,0,0,2,0,0,10,10,3,8,1,1,3.5,0
1718762,1146,1,8,0,0,0,3,0,0,10,17,3,8,1,1,3.5,0
1718763,1146,0,1,1,1,5,4,0,0,6,42,9,8,1,1,3.5,0
1718764,1146,1,1,1,1,4,9,0,0,5,23,8,9,2,1,3.5,0
1707939,1146,1,1,4,1,2,7,4,1,66,70,22,8,5,1,3.5,0
1718766,1146,0,1,1,1,5,10,0,0,12,25,4,10,3,1,3.5,0
1718767,1146,0,1,1,1,5,26,0,0,46,138,44,10,2,1,3.5,0
1711355,1146,1,1,2,1,5,4,8,1,10,70,22,8,3,1,3.5,0
1718769,1146,1,8,0,0,0,3,0,0,10,25,9,10,1,1,3.5,0
1718770,1146,1,8,0,0,0,13,0,0,1,44,14,11,2,1,3.5,0
1711339,1146,0,1,2,2,5,4,8,1,5,68,22,11,3,1,3.5,0
1718772,1146,0,8,0,0,0,7,0,0,2,20,3,12,2,1,3.5,0
1718773,1146,1,8,0,0,0,1,0,0,20,225,33,12,1,1,3.5,0
