F1;F6;F193;F12;F14;F15;F16;F26;F72;F99;S;Busy;Exting;Decade;Car;Nozzle;Flow;Long
1146;1;0;5;0;0;0;2;0;0;2;19;3;35;2;1;3,5;0
1146;1;2;2;5;4;3;3;0;0;10;78;17;35;6;1;3,5;0
1146;1;1;1;1;1;3;2;0;0;7;63;24;35;4;2;7;0
1146;1;3;2;12;6;3;1;0;0;20;103;34;35;5;2;7;0
1146;1;2;2;5;2;3;2;0;0;3;10;0;35;2;0;0;0
1146;1;2;2;5;1;3;2;0;0;3;25;5;35;3;1;3,5;0
1146;1;0;6;0;0;0;12;0;0;3;10;0;35;1;0;0;0
1146;1;2;2;9;1;3;3;0;0;2;10;0;35;4;0;0;0
1146;1;1;2;1;1;3;9;0;0;70;140;42;35;4;2;7;0
1146;1;1;2;1;1;3;8;0;0;15;68;14;35;3;1;3,5;0
1146;1;0;5;0;0;0;4;0;0;2;10;0;36;2;0;0;0
1146;1;0;6;0;0;0;3;0;0;2;18;3;36;2;1;3,5;0
1146;1;0;6;0;0;0;2;0;0;4;23;9;36;2;1;3,5;0
1146;1;2;2;3;2;3;1;0;0;20;142;30;36;4;2;7;0
1146;1;0;6;0;0;0;1;0;0;3;27;3;36;2;1;3,5;0
1146;1;0;6;0;0;0;9;0;0;4;1474;1445;36;2;1;3,5;0
1146;1;2;2;9;1;3;1;0;0;2;15;3;36;4;1;3,5;0
1146;0;1;3;1;1;3;16;0;0;18;77;16;36;2;2;7;0
1146;1;2;2;5;1;3;6;0;0;2;10;0;36;3;0;0;0
1146;1;2;2;5;4;3;2;0;0;1;10;0;36;4;0;0;0
1146;1;1;2;1;1;3;5;0;0;90;141;60;36;4;3;10,5;0
1146;1;0;5;0;0;0;8;0;0;3;36;9;36;1;1;3,5;0
1146;1;3;2;2;1;3;5;0;0;100;360;187;36;5;2;7;0
1146;1;0;5;0;0;0;7;0;0;2;10;0;36;2;0;0;0
1146;1;0;6;0;0;0;4;0;0;10;70;39;36;2;1;3,5;0
1146;1;1;3;1;1;3;3;0;0;10;69;29;36;4;1;3,5;0
1146;1;2;2;9;1;3;5;0;0;1;10;0;36;4;0;0;0
1146;1;0;6;0;0;0;4;0;0;2;84;0;36;1;0;0;0
1146;1;0;5;0;0;0;1;0;0;3;27;6;36;2;1;3,5;0
1146;0;1;4;1;1;3;3;0;0;720;1798;1549;36;6;4;14;0
1146;1;2;2;5;4;3;4;0;0;2;40;12;37;4;1;3,5;0
1146;1;3;2;1;1;3;7;0;0;35;231;64;37;6;2;7;0
1146;0;2;2;2;1;3;8;0;0;2;10;0;37;2;0;0;0
